YEAR,LocationDesc,StateCode,Data_Value,Lung Cancer
2016,Alaska,AK,19,440
2016,Arizona,AZ,14.7,3980
2016,Arkansas,AR,23.6,2610
2016,California,CA,11,18140
2016,Colorado,CO,15.6,2520
2016,Connecticut,CT,13.3,2770
2016,Delaware,DE,17.7,850
2016,Florida,FL,15.5,17360
2016,Georgia,GA,17.9,6670
2016,Hawaii,HI,13.1,740
2016,Idaho,ID,14.5,990
2016,Illinois,IL,15.8,8820
2016,Indiana,IN,21.1,5520
2016,Iowa,IA,16.7,2420
2016,Kansas,KS,17.2,1970
2016,Kentucky,KY,24.5,4960
2016,Louisiana,LA,22.8,3730
2016,Maine,ME,19.8,1410
2016,Maryland,MD,13.7,4100
2016,Massachusetts,MA,13.6,4910
2016,Michigan,MI,20.4,8440
2016,Minnesota,MN,15.2,3660
2016,Mississippi,MS,22.7,2550
2016,Missouri,MO,22.1,5450
2016,Montana,MT,18.5,750
2016,Nebraska,NE,17,1220
2016,Nevada,NV,16.5,1700
2016,New Hampshire,NH,18,290
2016,New Jersey,NJ,14,1870
2016,New Mexico,NM,16.6,380
2016,New York,NY,14.2,4490
2016,North Carolina,NC,17.9,1870
2016,North Dakota,ND,19.8,150
2016,Ohio,OH,22.5,10550
2016,Oklahoma,OK,19.6,3150
2016,Oregon,OR,16.2,2970
2016,Pennsylvania,PA,18,10500
2016,Rhode Island,RI,14.4,210
2016,South Carolina,SD,20,920
2016,South Dakota,SD,18.1,180
2016,Tennessee,TN,22.1,6010
2016,Texas,TX,14.3,14620
2016,Utah,UT,8.8,890
2016,Vermont,VT,17,510
2016,Virginia,VA,15.3,5690
2016,Washington,WA,13.9,4670
2016,West Virginia,WV,24.8,410
2016,Wisconsin,WI,17.1,4230
2016,Wyoming,WY,18.9,310
